,total_return,CAGR,annual_return,annual_vol,sharpe,max_drawdown
^NDX,16047.191282187847,0.2702481676945814,0.285328918035584,0.32061757207242836,0.8899353712625815,-0.823553927112998
TQQQ,70387.52716851131,0.3174983224365491,0.5867726675139513,0.791364061731641,0.7414699452360669,-0.9995699093499563
RebalanceMix,111303.65664793568,0.33249731484166345,0.4734715565708607,0.6170233111449446,0.7673479235205715,-0.9944472428047577
NoRebalanceMix,52274.08368441457,0.3078508151287733,0.490174365483165,0.6711248553506532,0.7303773084474063,-0.9980864593876926
