Date,^NDX_DCA,TQQQ_DCA,Invested,NoRebalance,MonthlyRebal,^NDX,TQQQ_real,TQQQ_sim,TQQQ_combined,^NDX_anchored,TQQQ_combined_anchored
1985-10-01,999.9999999999999,1000.0,1000.0,1000.0,1000.0,112.13999938964844,,0.025467950004490945,0.025467950004490945,999.9999999999999,1000.0
1985-10-02,988.2735647533127,964.8068053710496,1000.0,972.6290577162454,972.6290577162454,110.82499694824219,,0.024571651483182518,0.024571651483182518,988.2735647533127,964.8068053710496
1985-10-03,988.674900570905,965.968823324312,1000.0,973.5375149829738,973.5375149829738,110.87000274658203,,0.024601245698320527,0.024601245698320527,988.674900570905,965.968823324312
1985-10-04,981.5854962310899,945.1756434972418,1000.0,957.3122598615295,957.3122598615295,110.07499694824219,,0.024071686034050313,0.024071686034050313,981.5854962310899,945.1756434972418
1985-10-07,964.8653249255327,896.8626010718606,1000.0,919.5301734229938,919.5301734229938,108.19999694824219,,0.022841251884995854,0.022841251884995854,964.8653249255327,896.8626010718606
1985-10-08,955.5912631117887,870.9888384544477,1000.0,899.1896438534804,899.1896438534804,107.16000366210938,,0.022182300192227514,0.022182300192227514,955.5912631117887,870.9888384544477
1985-10-09,968.6998202663225,906.8207494184468,1000.0,927.447104305103,927.447104305103,108.62999725341797,,0.023094865509224016,0.023094865509224016,968.6998202663225,906.8207494184468
1985-10-10,975.8783498682238,926.968082840429,1000.0,943.271503552685,943.271503552685,109.43499755859375,,0.023607976789538868,0.023607976789538868,975.8783498682238,926.968082840429
1985-10-11,990.2800397376205,967.9948732676825,1000.0,975.4232613481563,975.4232613481563,111.05000305175781,,0.024652845036984887,0.024652845036984887,990.2800397376205,967.9948732676825
1985-10-14,1009.3186924793382,1023.8120551063652,1000.0,1018.9809347138016,1018.9809347138016,113.18499755859375,,0.02607439423344404,0.02607439423344404,1009.3186924793382,1023.8120551063652
1985-10-15,1011.057587573734,1029.089430032884,1000.0,1023.0788164808954,1023.0788164808954,113.37999725341797,,0.02620879815422757,0.02620879815422757,1011.057587573734,1029.089430032884
1985-10-16,1019.3954259282667,1054.5347590846281,1000.0,1042.8216492038189,1042.8216492038189,114.31500244140625,,0.026856838522365215,0.026856838522365215,1019.3954259282667,1054.5347590846281
1985-10-17,1023.1852906034622,1066.2816253197007,1000.0,1051.9161818508323,1051.9161818508323,114.73999786376953,,0.027156007124349485,0.027156007124349485,1023.1852906034622,1066.2816253197007
1985-10-18,1019.4399885593098,1054.557655876594,1000.0,1042.8517679414215,1042.8517679414215,114.31999969482422,,0.026857421656718266,0.026857421656718266,1019.4399885593098,1054.557655876594
1985-10-21,1013.7328421964437,1036.8317708438199,1000.0,1029.1321287313256,1029.1321287313256,113.68000030517578,,0.02640597970291822,0.02640597970291822,1013.7328421964437,1036.8317708438199
1985-10-22,1020.5101040153039,1057.6124361653362,1000.0,1045.2449933520697,1045.2449933520697,114.44000244140625,,0.026935220648386656,0.026935220648386656,1020.5101040153039,1057.6124361653362
1985-10-23,1026.0834944504895,1074.9258078823416,1000.0,1058.645038366468,1058.645038366468,115.06500244140625,,0.027376156733684515,0.027376156733684515,1026.0834944504895,1074.9258078823416
1985-10-24,1029.8287964946421,1086.6816217149058,1000.0,1067.7306818699121,1067.7306818699121,115.48500061035156,,0.027675553212634364,0.027675553212634364,1029.8287964946421,1086.6816217149058
1985-10-25,1015.7838798117946,1042.2056838992446,1000.0,1033.3984167508215,1033.3984167508215,113.91000366210938,,0.026542842251942256,0.026542842251942256,1015.7838798117946,1042.2056838992446
1985-10-28,1014.9812762111612,1039.7207678600066,1000.0,1031.4742714683746,1031.4742714683746,113.81999969482422,,0.026479556534489586,0.026479556534489586,1014.9812762111612,1039.7207678600066
1985-10-29,1029.070823559603,1083.005239297186,1000.0,1065.0271025158056,1065.0271025158056,115.4000015258789,,0.02758192328902249,0.02758192328902249,1029.070823559603,1083.005239297186
1985-10-30,1032.3702271551201,1093.4071813999544,1000.0,1073.0615320195748,1073.0615320195748,115.7699966430664,,0.0278468394304454,0.0278468394304454,1032.3702271551201,1093.4071813999544
1985-10-31,1029.7842338635992,1085.1753392987246,1000.0,1066.7116393333863,1066.7116393333863,115.4800033569336,,0.027637191287366417,0.027637191287366417,1029.7842338635992,1085.1753392987246
1985-11-01,2036.8735701688631,2107.5722621189225,2000.0,2084.006033825526,2084.006033825526,116.2750015258789,,0.028207594998005667,0.028207594998005667,1036.8735701688631,1107.5722621189227
